logged_at_ts,price,direction,entry,stop,target,rr,reason
1784019496979,1780.12,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784019662424,1785.04,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784023265213,1785.15,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784026863853,1799.4,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784030467375,1797.09,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784033451616,1797.09,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784034068283,1860.39,,,,,,"ADX 15.9 is below 20.0 — market looks flat/choppy, sitting out."
1784037667088,1870.79,,,,,,"ADX 19.3 is below 20.0 — market looks flat/choppy, sitting out."
1784041268570,1880.23,,,,,,"Risk:reward is 0.62, below the 1.5 threshold — sitting out this hour."
1784044864589,1874.52,,,,,,"Risk:reward is 0.89, below the 1.5 threshold — sitting out this hour."
1784048463229,1873.26,,,,,,"Risk:reward is 0.59, below the 1.5 threshold — sitting out this hour."
1784050706624,1873.26,,,,,,"Risk:reward is 0.59, below the 1.5 threshold — sitting out this hour."
1784052066552,1870.96,,,,,,"Risk:reward is 0.62, below the 1.5 threshold — sitting out this hour."
1784055664267,1873.89,,,,,,"Risk:reward is 0.52, below the 1.5 threshold — sitting out this hour."
1784059266545,1875.94,,,,,,"Risk:reward is 0.64, below the 1.5 threshold — sitting out this hour."
1784062864305,1874.46,,,,,,"Risk:reward is 0.69, below the 1.5 threshold — sitting out this hour."
1784064862867,1874.46,,,,,,"Risk:reward is 0.69, below the 1.5 threshold — sitting out this hour."
1784066465439,1875.41,,,,,,"Risk:reward is 0.65, below the 1.5 threshold — sitting out this hour."
1784070066253,1881.16,,,,,,"Risk:reward is 1.08, below the 1.5 threshold — sitting out this hour."
1784073666916,1891.12,long,1877.9334999999999,1849.676714285714,1920.3186785714286,1.5,
1784077261878,1880.8,,,,,,"Risk:reward is 0.57, below the 1.5 threshold — sitting out this hour."
1784080865120,1869.64,,,,,,"Risk:reward is 0.95, below the 1.5 threshold — sitting out this hour."
1784084463619,1863.92,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784088065958,1875.48,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784091665247,1875.69,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784095270444,1881.93,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784097175749,1881.93,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784098864456,1874.76,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784102465285,1869.25,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784106067374,1878.2,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784109671578,1878.78,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784113269963,1877.02,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784116871466,1883.61,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784117213479,1883.61,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784120472384,1926.41,,,,,,Long signal just appeared this hour — waiting one more hour to confirm it's not noise.
1784124074160,1925.21,,,,,,"Risk:reward is 0.62, below the 1.5 threshold — sitting out this hour."
1784127674844,1932.28,,,,,,"Risk:reward is 0.57, below the 1.5 threshold — sitting out this hour."
1784131269418,1930.79,,,,,,"Risk:reward is 0.71, below the 1.5 threshold — sitting out this hour."
1784134437684,1930.79,,,,,,"Risk:reward is 0.71, below the 1.5 threshold — sitting out this hour."
1784134867432,1918.89,,,,,,"Risk:reward is 1.03, below the 1.5 threshold — sitting out this hour."
1784138467704,1927.13,,,,,,"Risk:reward is 0.70, below the 1.5 threshold — sitting out this hour."
1784142063270,1923.69,,,,,,"Risk:reward is 0.84, below the 1.5 threshold — sitting out this hour."
1784145662983,1923.12,,,,,,"Risk:reward is 0.84, below the 1.5 threshold — sitting out this hour."
1784148116911,1923.12,,,,,,"Risk:reward is 0.84, below the 1.5 threshold — sitting out this hour."
1784149268526,1922.52,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784152873692,1921.31,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784156465355,1922.33,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784160072500,1917.04,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784160877978,1917.04,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784163668659,1914.15,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784167269693,1921.85,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784170869381,1924.38,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784174465919,1917.86,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784178069681,1917.65,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784181666791,1924.53,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784185267122,1921.8,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784188869553,1909.92,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784192468058,1885.49,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784194357469,1885.49,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784196081026,1883.95,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784199669530,1887.62,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784203267614,1884.24,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784206868790,1871.72,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784210467822,1881.62,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784214058568,1882.6,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784216963144,1882.6,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784217652130,1881.16,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784221250746,1878.19,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784224850914,1868.32,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784228450146,1875.13,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784231381579,1875.13,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784232051157,1874.82,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784235650783,1871.06,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784239255951,1877.79,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784242852715,1868.19,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784243727762,1868.19,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784246466200,1863.86,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784250051895,1865.0,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784253650839,1850.42,,,,,,Short signal just appeared this hour — waiting one more hour to confirm it's not noise.
1784254587323,1850.42,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784257252744,1847.47,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784260851381,1851.89,,,,,,Short signal has held 1h of the 2h needed — waiting to confirm it's not noise.
1784264450970,1849.21,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784268052972,1823.3,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784271652740,1831.5,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784273744506,1831.5,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784275250203,1827.36,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784278855072,1829.26,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784282451514,1834.28,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784286049616,1835.98,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784289652415,1838.31,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784293256364,1827.77,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784296866227,1824.84,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784300452385,1821.32,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784304053789,1829.95,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784307654357,1835.01,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784311249421,1842.79,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784314851613,1845.94,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784318450744,1842.69,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784322051886,1841.88,,,,,,Short signal just appeared this hour — waiting one more hour to confirm it's not noise.
1784325650483,1840.6,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784329250896,1839.0,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784332854646,1840.99,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784336447853,1839.88,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784340046166,1841.75,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784343650073,1840.91,,,,,,Short signal just appeared this hour — waiting one more hour to confirm it's not noise.
1784347244475,1845.08,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784350847659,1843.86,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784354444835,1844.94,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
