logged_at_ts,price,direction,entry,stop,target,rr,reason
1784278856464,62857.3,,,,,,Short signal just appeared this hour — waiting one more hour to confirm it's not noise.
1784282453144,62962.2,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784286051040,63145.6,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784289653564,63264.3,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784293257799,63067.3,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784296867591,63136.4,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784300453800,63150.2,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784304055458,63436.7,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784307655757,63560.6,,,,,,4H trend is bullish — skipping short to avoid fighting the higher timeframe.
1784311250869,64018.1,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784314852891,64224.0,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784318452232,64130.0,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784322053091,64090.0,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784325651876,64078.5,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784329252271,63956.2,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784332855889,63908.2,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784336448958,63882.7,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784340047576,63935.1,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784343651182,63928.8,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784347245837,63989.5,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784350848752,63942.7,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784354446274,63933.0,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784358048412,63955.7,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784361646926,63980.8,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784365334295,63975.4,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784368945428,63963.8,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784372536533,63983.8,,,,,,"ADX 9.8 is below 20.0 — market looks flat/choppy, sitting out."
1784376116277,64038.4,,,,,,"ADX 9.7 is below 20.0 — market looks flat/choppy, sitting out."
1784379727939,64182.4,,,,,,"ADX 10.6 is below 20.0 — market looks flat/choppy, sitting out."
1784383337984,64085.7,,,,,,"ADX 10.8 is below 20.0 — market looks flat/choppy, sitting out."
1784386930291,64099.0,,,,,,"ADX 11.0 is below 20.0 — market looks flat/choppy, sitting out."
1784390525583,64093.0,,,,,,"ADX 10.6 is below 20.0 — market looks flat/choppy, sitting out."
1784394132500,64278.7,,,,,,"ADX 11.2 is below 20.0 — market looks flat/choppy, sitting out."
1784397701386,64447.8,,,,,,"ADX 12.5 is below 20.0 — market looks flat/choppy, sitting out."
1784401247865,64476.6,,,,,,"ADX 14.4 is below 20.0 — market looks flat/choppy, sitting out."
1784404926550,64521.4,,,,,,"ADX 16.1 is below 20.0 — market looks flat/choppy, sitting out."
1784408535143,64666.7,,,,,,"ADX 18.3 is below 20.0 — market looks flat/choppy, sitting out."
1784412138643,64705.0,long,64591.91,64349.57428571429,64955.41357142857,1.5,
1784415649072,64778.7,long,64660.74,64407.96857142857,65039.89714285714,1.5000000000000144,
1784419334374,64802.4,long,64681.685000000005,64423.01,65069.6975,1.4999999999999718,
1784422931301,64749.9,,,,,,Asia session is filtered out for this instrument (SKIP_SESSIONS) — sitting out.
1784426531457,64734.1,,,,,,Asia session is filtered out for this instrument (SKIP_SESSIONS) — sitting out.
1784430049814,64789.2,,,,,,Asia session is filtered out for this instrument (SKIP_SESSIONS) — sitting out.
1784433757556,64689.9,,,,,,Asia session is filtered out for this instrument (SKIP_SESSIONS) — sitting out.
1784437340230,64696.9,,,,,,Asia session is filtered out for this instrument (SKIP_SESSIONS) — sitting out.
1784440846260,64695.4,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784444450839,64685.8,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784448152541,64694.2,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784451648809,64685.2,,,,,,Long signal just appeared this hour — waiting one more hour to confirm it's not noise.
1784455335569,64494.8,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784458940330,64561.2,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784462509709,64443.4,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784466133179,64417.0,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784469740388,64450.5,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784473247185,64561.9,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784476850640,64549.5,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784480447094,64505.0,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784484049708,64522.1,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784487648584,64395.5,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784491247466,64429.5,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784494927872,64509.5,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784498450208,64385.8,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784502122419,64645.3,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784505656762,64700.0,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784512848258,64600.0,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784516447178,64798.0,,,,,,Asia session is filtered out for this instrument (SKIP_SESSIONS) — sitting out.
1784520050839,64836.4,,,,,,Asia session is filtered out for this instrument (SKIP_SESSIONS) — sitting out.
1784523732619,64509.9,,,,,,Asia session is filtered out for this instrument (SKIP_SESSIONS) — sitting out.
1784527312170,64098.8,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784530849690,63885.1,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784534448992,64242.5,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784538050766,64029.3,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784541649420,64168.0,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784545249252,64273.6,,,,,,Signal isn't clear enough (score is in the neutral zone) — sitting out this hour.
1784548859124,64970.8,,,,,,Long signal just appeared this hour — waiting one more hour to confirm it's not noise.
1784552457414,64622.1,,,,,,"Risk:reward is 1.35, below the 1.5 threshold — sitting out this hour."
1784556050581,64313.1,long,64134.38,63670.27285714285,64901.78666666667,1.6535118635372565,
1784559657746,64393.6,long,64112.573333333334,63662.001904761906,64895.846666666665,1.7383999154512773,
1784563251618,65569.7,,,,,,"Risk:reward is 0.98, below the 1.5 threshold — sitting out this hour."
1784566853890,65479.9,,,,,,"Risk:reward is 1.06, below the 1.5 threshold — sitting out this hour."
1784570453115,65556.5,,,,,,"Risk:reward is 0.88, below the 1.5 threshold — sitting out this hour."
1784574052430,65207.0,long,64842.085,64320.77785714286,65677.95,1.603402162147348,
1784577658125,65110.9,long,64759.07,64256.455714285716,65677.95,1.8282011198590236,
1784581255633,65338.1,long,64990.865,64494.815,65734.94,1.500000000000022,
